=== 策略池 1（TP 0.6% / SL 0.8%，做多≥64% / 做空≥52%） ===
序号	方向	层级	出现轮次	累计触发	累计命中	综合命中率	平均命中率	波动	综合评分	各状态命中率	估算总盈亏	单次EV	平均持仓	条件组合
24	做多	精品	2	24	18	75.0%	100.0%	0.000	50.8	空头81%	+4.56%	+0.19%	32	KDJ-K<25（严格） & 下影线/实体>1.5（宽松） & MA5斜率<-0.05%（严格） & MACD柱>0(多头)（宽松） & RSI温和<50（宽松）
25	做多	精品	2	22	17	77.3%	100.0%	0.000	50.8	空头85%	+4.88%	+0.22%	32	KDJ-K<25（严格） & 下影线/实体>1.5（宽松） & MA5斜率<-0.05%（严格） & MACD柱>0(多头)（宽松） & RSI温和<45（严格）
26	做空	精品	2	20	12	60.0%	100.0%	0.000	50.8	多头75%  ⚠震荡50%	+3.60%	+0.18%	32	布林位置>0.85（严格） & MA5斜率>0.05%（严格） & MACD柱<0(空头)（宽松） & RSI>60（宽松） & 上影线/实体>1.5（宽松）
27	做空	优质	2	24	14	58.3%	100.0%	0.000	50.8	⚠多头50%  震荡62%	+3.76%	+0.16%	32	布林位置>0.85（严格） & KDJ-K>65（宽松） & MA5斜率>0.05%（严格） & MACD柱<0(空头)（宽松） & 上影线/实体>1.5（宽松）
28	做空	精品	2	22	14	63.6%	66.7%	0.000	50.8	多头70%	+5.08%	+0.23%	2	布林位置>0.85（严格） & KDJ-K>75（严格） & MA5斜率>0.05%（严格） & MACD柱<0(空头)（宽松） & RSI>70（严格）
29	做多	优质	2	19	13	68.4%	77.5%	0.025	45.8	⚠空头57%  震荡100%	+1.86%	+0.10%	21	布林位置<0.15（严格） & 连续阴线≥3（严格） & MA5斜率<-0.05%（严格） & MACD柱>0(多头)（宽松） & RSI温和<45（严格）
30	做多	优质	2	22	15	68.2%	79.2%	0.042	42.5	空头71%  ⚠震荡62%	+2.08%	+0.09%	18	ATR波动率比>1.2（宽松） & MA5斜率<-0.05%（严格） & MACD柱>0(多头)（宽松） & OBV方向买压（宽松） & 量比>1.8（严格）
31	做空	精品	1	8	5	62.5%	100.0%	0.000	41.8	多头60%	+1.72%	+0.21%	8	连续阳线≥3（严格） & MACD柱<0(空头)（宽松） & RSI>70（严格） & 量比温和>1.1（宽松）
32	做多	优质	1	10	7	70.0%	100.0%	0.000	41.8	空头71%	+1.20%	+0.12%	37	ATR波动率比>1.2（宽松） & KDJ-J<15（严格） & 下影线/实体>1.5（宽松） & MACD柱>0(多头)（宽松）
33	做多	精品	1	14	10	71.4%	100.0%	0.000	38.8	空头77%	+1.96%	+0.14%	33	布林位置<0.25（宽松） & KDJ-K<25（严格） & 下影线/实体>1.5（宽松） & MA5斜率<-0.05%（严格） & MACD柱>0(多头)（宽松）
34	做多	优质	1	10	7	70.0%	75.0%	0.000	38.8	空头71%	+1.20%	+0.12%	8	布林位置<0.15（严格） & 连续阴线≥3（严格） & MA5斜率<-0.05%（严格） & MACD柱>0(多头)（宽松） & 量比>1.3（宽松）

=== 策略池 2（TP 1.0% / SL 0.8%，做多≥52% / 做空≥52%） ===
序号	方向	层级	出现轮次	累计触发	累计命中	综合命中率	平均命中率	波动	综合评分	各状态命中率	估算总盈亏	单次EV	平均持仓	条件组合
1	做多	精品	3	28	19	67.9%	100.0%	0.000	67.7	空头80%  ⚠震荡50%	+2.52%	+0.36%	26	偏离MA5温和<-0.3%（宽松） & 下影线/实体>1.5（宽松） & 量比>1.8（严格）
2	做多	精品	3	27	19	70.4%	100.0%	0.000	64.7	空头84%  ⚠震荡50%	+3.38%	+0.41%	26	偏离MA5温和<-0.3%（宽松） & 下影线/实体>1.5（宽松） & RSI<40（宽松） & 量比>1.8（严格）
3	做多	精品	3	25	19	76.0%	100.0%	0.000	64.7	空头80%	+5.10%	+0.51%	26	偏离MA5温和<-0.3%（宽松） & 连续阴线≥2（宽松） & 下影线/实体>1.5（宽松） & 量比>1.8（严格）
4	做多	精品	3	25	17	68.0%	100.0%	0.000	64.7	空头84%	+2.30%	+0.36%	24	ATR波动率比>1.2（宽松） & 偏离MA5温和<-0.3%（宽松） & 下影线/实体>1.5（宽松） & 量比>1.8（严格）
5	做多	精品	3	27	19	70.4%	100.0%	0.000	64.7	空头84%  ⚠震荡50%	+3.38%	+0.41%	26	偏离MA5温和<-0.3%（宽松） & 下影线/实体>1.5（宽松） & RSI温和<45（严格） & 量比>1.8（严格）
6	做多	精品	3	26	19	73.1%	100.0%	0.000	64.7	空头80%  ⚠震荡50%	+4.24%	+0.46%	26	偏离MA5温和<-0.3%（宽松） & 下影线/实体>1.5（宽松） & MA5斜率向下（宽松） & 量比>1.8（严格）
7	做空	精品	2	17	11	64.7%	100.0%	0.000	56.8	多头67%  震荡60%	+4.18%	+0.30%	35	偏离MA5>1.0%（宽松） & MA5斜率向上（宽松）
8	做多	精品	2	16	10	62.5%	100.0%	0.000	56.8	⚠空头50%	+0.24%	+0.27%	26	偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & 量比>1.8（严格）
9	做多	优质	2	18	10	55.6%	100.0%	0.000	56.8	⚠空头43%	-1.48%	+0.14%	26	偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & 量比温和>1.1（宽松）
10	做多	精品	2	20	12	60.0%	100.0%	0.000	56.8	空头67%  ⚠震荡60%	-0.40%	+0.22%	32	偏离MA5温和<-0.3%（宽松） & KDJ-J<15（严格） & MACD柱>0(多头)（宽松）
11	做空	精品	2	16	12	75.0%	66.7%	0.000	56.8	空头75%  震荡100%	+6.24%	+0.49%	20	偏离MA5温和>0.5%（严格） & OBV方向卖压（宽松）
12	做多	优质	2	21	12	57.1%	100.0%	0.000	53.8	⚠空头62%  ⚠震荡40%	-1.26%	+0.17%	24	偏离MA5温和<-0.3%（宽松） & KDJ-J<25（宽松） & 下影线/实体>2.5（严格） & 量比>1.3（宽松）
13	做多	精品	2	16	12	75.0%	100.0%	0.000	53.8	空头83%	+3.04%	+0.49%	24	偏离MA5温和<-0.3%（宽松） & KDJ-J<25（宽松） & 下影线/实体>1.5（宽松） & 量比>1.8（严格）
14	做多	精品	2	18	14	77.8%	100.0%	0.000	53.8	空头86%	+4.12%	+0.54%	24	布林位置<0.15（严格） & 偏离MA5温和<-0.3%（宽松） & 下影线/实体>1.5（宽松） & 量比>1.8（严格）
15	做多	精品	2	16	12	75.0%	100.0%	0.000	53.8	空头83%	+3.04%	+0.49%	24	偏离MA5温和<-0.3%（宽松） & 下影线/实体>1.5（宽松） & MA5斜率<-0.05%（严格） & 量比>1.8（严格）
16	做多	精品	2	22	14	63.6%	100.0%	0.000	53.8	⚠空头56%	+0.68%	+0.29%	26	偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & KDJ-J<25（宽松） & KDJ-K<25（严格）
17	做多	精品	2	22	14	63.6%	100.0%	0.000	53.8	⚠空头56%	+0.68%	+0.29%	27	ATR波动率比>1.8（严格） & 偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & KDJ-K<25（严格）
18	做多	优质	2	24	14	58.3%	100.0%	0.000	53.8	⚠空头50%	-1.04%	+0.19%	27	ATR波动率比>1.8（严格） & 偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & KDJ-J<25（宽松）
19	做多	优质	2	18	10	55.6%	100.0%	0.000	53.8	⚠空头43%	-1.48%	+0.14%	26	偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & KDJ-J<15（严格） & 量比>1.3（宽松）
20	做多	优质	2	18	10	55.6%	100.0%	0.000	53.8	⚠空头43%	-1.48%	+0.14%	26	ATR波动率比>1.2（宽松） & 偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & 量比>1.3（宽松）
21	做空	优质	1	9	5	55.6%	100.0%	0.000	38.8	⚠震荡50%	+1.06%	+0.14%	28	布林位置>0.85（严格） & KDJ-J>85（严格） & KDJ-K>65（宽松） & MACD柱<0(空头)（宽松） & OBV方向卖压（宽松）
22	做空	精品	1	8	5	62.5%	100.0%	0.000	38.8	⚠震荡50%	+1.72%	+0.27%	28	布林位置>0.85（严格） & KDJ-K>65（宽松） & MA5斜率>0.05%（严格） & MACD柱<0(空头)（宽松） & OBV方向卖压（宽松）
23	做空	优质	1	9	5	55.6%	100.0%	0.000	38.8	⚠震荡43%	+1.06%	+0.14%	28	布林位置>0.85（严格） & MA5斜率>0.05%（严格） & MACD柱<0(空头)（宽松） & OBV方向卖压（宽松） & RSI温和>55（严格）

