序号	方向	层级	出现轮次	累计触发	累计命中	综合命中率	平均命中率	波动	综合评分	各状态命中率	估算总盈亏	单次EV	平均持仓	条件组合
33	做多	精品	2	17	13	76.5%	100.0%	0.000	53.8	多头76%	+3.58%	+0.21%	-	KDJ-J<15（严格） & MACD柱>0(多头)（宽松） & OBV方向买压（宽松） & 量比>1.3（宽松）
34	做多	精品	2	18	14	77.8%	100.0%	0.000	53.8	多头78%	+4.12%	+0.23%	-	连续阴线≥2（宽松） & KDJ-J<25（宽松） & 下影线/实体>2.5（严格） & RSI温和<50（宽松）
35	做多	精品	2	17	13	76.5%	100.0%	0.000	53.8	多头76%	+3.58%	+0.21%	-	连续阴线≥3（严格） & KDJ-K<35（宽松） & MACD柱>0(多头)（宽松） & RSI温和<45（严格）
36	做空	优质	2	18	10	55.6%	100.0%	0.000	53.8	空头56%	+2.12%	+0.12%	-	布林中区>0.60（宽松） & KDJ-K>65（宽松） & MACD柱<0(空头)（宽松） & OBV方向卖压（宽松）
37	做多	优质	2	27	19	70.4%	100.0%	0.000	53.8	⚠多头40%  空头75%	+3.38%	+0.13%	20	偏离MA5温和<-0.3%（宽松） & 连续阴线≥2（宽松） & KDJ-K<35（宽松） & OBV方向买压（宽松）
38	做多	精品	2	56	42	75.0%	100.0%	0.000	53.8	空头75%  震荡75%	+10.64%	+0.19%	14	偏离MA5温和<-0.3%（宽松） & 连续阴线≥2（宽松） & MA5斜率向下（宽松） & OBV方向买压（宽松）
39	做多	优质	2	34	23	67.6%	75.0%	0.000	53.8	空头68%  震荡67%	+2.96%	+0.09%	18	偏离MA5温和<-0.3%（宽松） & 连续阴线≥2（宽松） & 下影线/实体>1.5（宽松） & 量比温和>1.1（宽松）
40	做空	精品	2	19	19	100.0%	65.2%	0.015	53.8	多头100%	+14.06%	+0.74%	13	ATR波动率比>1.8（严格） & 偏离MA5温和>0.3%（宽松） & 上影线/实体>1.5（宽松）
41	做多	优质	5	203	139	68.5%	68.4%	0.037	51.9	空头65%  震荡78%	+20.02%	+0.10%	6	布林位置<0.25（宽松） & 偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & KDJ-J<15（严格）
42	做多	精品	2	26	20	76.9%	100.0%	0.000	50.8	空头78%  震荡67%	+5.64%	+0.22%	14	偏离MA5温和<-0.5%（严格） & 连续阴线≥2（宽松） & KDJ-J<15（严格） & 下影线/实体>1.5（宽松） & 量比>1.3（宽松）
43	做多	优质	2	34	24	70.6%	100.0%	0.000	50.8	空头67%  震荡75%	+4.36%	+0.13%	14	布林中区<0.40（宽松） & 偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & 下影线/实体>1.5（宽松） & 量比>1.3（宽松）
44	做空	精品	2	36	22	61.1%	66.7%	0.000	50.8	多头55%  震荡83%	+7.04%	+0.20%	34	布林中区>0.60（宽松） & 连续阳线≥3（严格） & KDJ-J>75（宽松） & OBV方向卖压（宽松） & 上影线/实体>1.5（宽松）
45	做空	精品	2	26	18	69.2%	66.7%	0.000	50.8	多头71%  震荡80%	+8.04%	+0.31%	34	布林中区>0.65（严格） & 连续阳线≥3（严格） & KDJ-J>75（宽松） & OBV方向卖压（宽松） & 上影线/实体>1.5（宽松）
46	做空	精品	2	34	22	64.7%	66.7%	0.000	50.8	多头55%  震荡83%	+8.36%	+0.25%	34	布林中区>0.60（宽松） & 连续阳线≥3（严格） & MA5斜率向上（宽松） & OBV方向卖压（宽松） & 上影线/实体>1.5（宽松）
47	做空	精品	2	22	16	72.7%	66.7%	0.000	50.8	多头71%  震荡75%	+7.88%	+0.36%	34	布林中区>0.65（严格） & 连续阳线≥3（严格） & MA5斜率向上（宽松） & OBV方向卖压（宽松） & 上影线/实体>1.5（宽松）
48	做空	优质	4	213	121	56.8%	55.4%	0.015	49.8	多头62%  ⚠震荡45%	+28.82%	+0.14%	12	布林位置>0.75（宽松） & 偏离MA5温和>0.3%（宽松） & 连续阳线≥2（宽松） & KDJ-K>65（宽松） & 上影线/实体>1.5（宽松）
49	做多	优质	1	10	7	70.0%	75.0%	0.000	41.8	多头70%	+1.20%	+0.12%	-	布林中区<0.40（宽松） & KDJ-J<15（严格） & KDJ-K<35（宽松） & 下影线/实体>1.5（宽松）
50	做空	优质	1	9	5	55.6%	100.0%	0.000	41.8	空头56%	+1.06%	+0.12%	-	连续阳线≥2（宽松） & KDJ-K>65（宽松） & 上影线/实体>1.5（宽松） & 量比温和>1.1（宽松）
