序号	方向	层级	出现轮次	累计触发	累计命中	综合命中率	平均命中率	波动	综合评分	各状态命中率	估算总盈亏	单次EV	平均持仓	条件组合
33	做多	优质	1	10	7	70.0%	100.0%	0.000	44.8	空头71%	+1.20%	+0.12%	2	布林中区<0.40（宽松） & 偏离MA5温和<-0.5%（严格） & 下影线/实体>1.5（宽松）
34	做多	精品	1	8	6	75.0%	83.3%	0.000	44.8	空头75%	+1.52%	+0.19%	6	偏离MA5温和<-0.5%（严格） & KDJ-K<25（严格）
35	做多	精品	1	12	9	75.0%	100.0%	0.000	44.8	空头88%	+2.28%	+0.19%	4	偏离MA5温和<-0.5%（严格） & KDJ-K<35（宽松） & 量比>1.8（严格）
36	做多	精品	1	14	10	71.4%	100.0%	0.000	44.8	空头78%	+1.96%	+0.14%	4	布林位置<0.25（宽松） & 偏离MA5温和<-0.5%（严格） & 连续阴线≥2（宽松）
37	做多	精品	1	9	7	77.8%	100.0%	0.000	44.8	空头80%	+2.06%	+0.23%	4	布林位置<0.25（宽松） & 偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格）
38	做多	优质	1	13	9	69.2%	100.0%	0.000	44.8	空头78%	+1.42%	+0.11%	4	偏离MA5温和<-0.5%（严格） & 连续阴线≥2（宽松） & MA5斜率向下（宽松）
39	做多	精品	1	8	6	75.0%	100.0%	0.000	44.8	空头80%	+1.52%	+0.19%	4	偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & MA5斜率向下（宽松）
40	做空	精品	1	8	5	62.5%	100.0%	0.000	44.8	多头62%	+1.72%	+0.21%	19	偏离MA5温和>0.3%（宽松） & KDJ-K>75（严格） & 上影线/实体>1.5（宽松）
41	做多	优质	2	55	38	69.1%	70.3%	0.011	44.6	空头71%  ⚠震荡40%	+5.90%	+0.11%	8	ATR波动率比>1.8（严格） & 偏离MA5温和<-0.5%（严格） & KDJ-J<25（宽松）
42	做多	优质	3	73	50	68.5%	80.2%	0.140	43.7	空头73%  ⚠震荡40%	+7.22%	+0.10%	8	ATR波动率比>1.8（严格） & 偏离MA5温和<-0.5%（严格）
43	做多	优质	3	69	48	69.6%	78.6%	0.151	43.7	空头75%  ⚠震荡40%	+7.86%	+0.11%	9	ATR波动率比>1.8（严格） & 偏离MA5温和<-0.5%（严格） & 量比>1.3（宽松）
44	做多	优质	3	72	50	69.4%	80.2%	0.140	43.7	空头73%  ⚠震荡40%	+8.08%	+0.11%	8	ATR波动率比>1.8（严格） & 布林中区<0.40（宽松） & 偏离MA5温和<-0.5%（严格）
45	做多	优质	3	69	48	69.6%	80.2%	0.140	43.7	空头73%  ⚠震荡44%	+7.86%	+0.11%	8	ATR波动率比>1.8（严格） & 偏离MA5温和<-0.5%（严格） & MA5斜率<-0.05%（严格）
46	做多	优质	3	71	49	69.0%	78.6%	0.151	43.7	空头75%  ⚠震荡40%	+7.54%	+0.11%	9	ATR波动率比>1.8（严格） & 偏离MA5温和<-0.5%（严格） & 量比温和>1.1（宽松）
47	做多	优质	3	116	79	68.1%	80.1%	0.141	43.7	⚠多头57%  空头73%  ⚠震荡44%	+10.84%	+0.09%	7	ATR波动率比>1.2（宽松） & 偏离MA5温和<-0.5%（严格）
48	做多	优质	3	121	82	67.8%	80.1%	0.141	43.7	空头70%  ⚠震荡50%	+10.74%	+0.09%	7	偏离MA5温和<-0.5%（严格） & MA5斜率<-0.05%（严格）
49	做多	优质	3	113	78	69.0%	80.1%	0.141	43.7	空头73%  ⚠震荡44%	+12.02%	+0.11%	7	ATR波动率比>1.2（宽松） & 布林中区<0.40（宽松） & 偏离MA5温和<-0.5%（严格）
50	做多	优质	3	110	76	69.1%	80.1%	0.141	43.7	空头73%  ⚠震荡44%	+11.80%	+0.11%	7	ATR波动率比>1.2（宽松） & 布林中区<0.35（严格） & 偏离MA5温和<-0.5%（严格）
51	做多	优质	3	109	75	68.8%	80.1%	0.141	43.7	空头73%  ⚠震荡44%	+11.26%	+0.10%	7	ATR波动率比>1.2（宽松） & 偏离MA5温和<-0.5%（严格） & MA5斜率向下（宽松）
52	做多	精品	4	32	26	81.2%	75.0%	0.144	42.9	多头81%	+8.88%	+0.28%	-	布林中区<0.40（宽松） & 连续阴线≥2（宽松） & KDJ-J<25（宽松） & 下影线/实体>2.5（严格）
53	做多	精品	1	8	6	75.0%	100.0%	0.000	41.8	多头75%	+1.52%	+0.19%	-	连续阴线≥3（严格） & KDJ-J<15（严格） & OBV方向买压（宽松） & 量比>1.3（宽松）
54	做空	优质	1	9	5	55.6%	100.0%	0.000	41.8	空头56%	+1.06%	+0.12%	-	连续阳线≥2（宽松） & KDJ-K>65（宽松） & 上影线/实体>1.5（宽松） & 量比温和>1.1（宽松）
55	做空	精品	1	8	5	62.5%	60.0%	0.000	33.5	空头62%	+1.72%	+0.21%	-	KDJ-J>75（宽松） & KDJ-K>65（宽松） & 上影线/实体>1.5（宽松） & 量比温和>1.1（宽松）
56	做多	优质	1	10	7	70.0%	66.7%	0.000	27.0	多头70%	+1.20%	+0.12%	-	KDJ-K<35（宽松） & OBV方向买压（宽松） & 量比>1.3（宽松）
57	做多	精品	1	8	6	75.0%	66.7%	0.000	24.0	多头75%	+1.52%	+0.19%	-	ATR波动率比>1.2（宽松） & KDJ-J<25（宽松） & KDJ-K<35（宽松） & OBV方向买压（宽松）
